[2026-07-22T13:42:25.907Z] GET https://github.com/github/spec-kit → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/91445-6f5c449d48bb47ab.js → pending (?ms, ?B)
[2026-07-22T13:42:26.923Z] GET https://github.githubassets.com/assets/github-elements-507044d2b9333fff.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/element-registry-a986cd6a5927d26f.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/runtime-helpers-b5a5a1cee32a4b87.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/aria-live-f89426702b2d1650.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/hotkey-18e2cf4c6aadb3ff.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/react-core-5bace5d14a129bbc.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/react-lib-a79e0802ead09943.js → pending (?ms, ?B)
[2026-07-22T13:42:26.924Z] GET https://github.githubassets.com/assets/38566-0e2fc1e26fe33e26.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/79039-9238f8fd47d74629.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/88475-e7c45daacb58e0a3.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/26533-557f05825ff30790.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/3609-2a17d1c3e2ce7fe5.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/74809-4df83b7c30013f54.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/40489-1cb4158300f5cf11.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/85720-fc27301ab71403cf.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/6059-001e1b0cb00e4a0b.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/29863-48ad2609b0f83022.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/27956-409bb692f2b6523b.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/24061-55c5ea4be30ab4b5.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/behaviors-0c0651e603ab541e.js → pending (?ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/react-core.26bf6a8deca78ab5.module.css → 200 (239ms, ?B)
[2026-07-22T13:42:26.925Z] GET https://github.githubassets.com/assets/66728-0ce5549de1472c6f.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/codespaces-8bc89ff3fc5d819f.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/48042-7e814f43e9ff3678.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/repositories-cbcbf334bc4b7cf6.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/code-menu-1c9b15e66a6dae55.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/primer-react-8f08abc023501f57.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/octicons-react-0f7aabd2961515ac.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/65063-b4693aba6fc1af8e.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/437-e211f0d3b29f548a.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/53351-c7a0796f923dc77c.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/7463-db515752da2fc1d3.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/27600-ca5896d422c7dee2.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/88493-eabaae5d94674ff7.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/47406-7666df4c77b449d9.js → pending (?ms, ?B)
[2026-07-22T13:42:26.926Z] GET https://github.githubassets.com/assets/76041-6118fbdcc7fd198e.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/27784-0cb7688f5c662c21.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/99829-93eab990d668cd70.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/71192-94a80c954a1e863a.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/4871-d4c66be5b6789608.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/12540-a43909fd5524fc62.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/57664-b472a2afc79891f8.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/56324-f3622d5657a111a5.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/4706-4d3c62464fbdd35d.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/47278-5bde9117e40f98de.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/1966-7fbeda16787b1887.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/8151-6a3bf30483fb7989.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/10257-a73e531345938203.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/11494-ffe52f81d15e7ba9.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/13735-b98e51f0f3d35f17.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/99788-02d0a8f5e37ae567.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/30223-43ed0da086387259.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/21472-ed8c6f1b49257b4b.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/79589-501381ba950d89f2.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/24860-70121da41a4fb7f5.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/85736-8a75fdce27024c9a.js → pending (?ms, ?B)
[2026-07-22T13:42:26.927Z] GET https://github.githubassets.com/assets/15119-aacb178e7c4d4e2d.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/54050-d9d79abd130eb040.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/64029-255eeaa1b79ed4f8.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/66917-60b4817426fb28cb.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/3399-3e687f124aa85e71.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/26473-9de72bc0f46eb5ac.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/4409-59e73f35663e40d9.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/code-view-715ec5523634b3d0.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/primer-react-css.4f72cf01e9e4cf6b.module.css → 200 (168ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/99788.99e8d1df230f15ac.module.css → 200 (168ms, 19738B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/4409.eee6404bd79561cb.module.css → 200 (238ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/code-view.c86bf2120d0f993b.module.css → 200 (238ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/93986-f6551bbe82278926.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/22415-851891165da4dac5.js → pending (?ms, ?B)
[2026-07-22T13:42:26.928Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu-1156a7b854943ec2.js → pending (?ms, ?B)
[2026-07-22T13:42:26.929Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu.74883f910616c188.module.css → 200 (237ms, ?B)
[2026-07-22T13:42:26.929Z] GET https://github.githubassets.com/assets/keyboard-shortcuts-dialog.326d335ac0077bd0.module.css → 200 (238ms, ?B)
[2026-07-22T13:42:26.929Z] GET https://github.githubassets.com/assets/70666-774087b76d27f9f3.js → pending (?ms, ?B)
[2026-07-22T13:42:26.929Z] GET https://github.githubassets.com/assets/sessions-4f54cc20ec20e62f.js → pending (?ms, ?B)
[2026-07-22T13:42:26.929Z] GET https://github.githubassets.com/assets/marketing-navigation.f23652520f4a4ff6.module.css → 200 (239ms, ?B)
[2026-07-22T13:42:27.331Z] GET https://github.com/github/spec-kit/raw/main/media/logo_large.webp → pending (?ms, ?B)
[2026-07-22T13:42:27.331Z] GET https://camo.githubusercontent.com/3b81e637a22ed4d802b654cf45baeab89612b7301fe60876634af117c496fa50/68747470733a2f2f696d672e736869656c64732e696f2f6769746875622f762f72656c656173652f6769746875622f737065632d6b6974 → 200 (241ms, 1298B)
[2026-07-22T13:42:27.331Z] GET https://camo.githubusercontent.com/79f37a502abead3ac4b07bf851b94433d6b2f57d19e7eecd4a18900bee6c740b/68747470733a2f2f696d672e736869656c64732e696f2f6769746875622f73746172732f6769746875622f737065632d6b69743f7374796c653d736f6369616c → 200 (246ms, 2786B)
[2026-07-22T13:42:27.331Z] GET https://camo.githubusercontent.com/de69478c402ec49440743f91e46921baae6e0a83279421a10890fbd6b16da67c/68747470733a2f2f696d672e736869656c64732e696f2f6769746875622f6c6963656e73652f6769746875622f737065632d6b6974 → 200 (243ms, 1275B)
[2026-07-22T13:42:27.331Z] GET https://camo.githubusercontent.com/2ec2efdf26b99b1c38c6bcabe6224a90fcc4ca2102350935e18d4ac434b288af/68747470733a2f2f696d672e736869656c64732e696f2f62616467652f646f63732d4769744875625f50616765732d626c7565 → 200 (243ms, 1308B)
[2026-07-22T13:42:27.331Z] GET https://github.com/github/spec-kit/raw/main/media/spec-kit-video-header.jpg → pending (?ms, ?B)
[2026-07-22T13:42:27.616Z] GET https://raw.githubusercontent.com/github/spec-kit/main/media/logo_large.webp → 200 (72ms, 46884B)
[2026-07-22T13:42:27.626Z] GET https://raw.githubusercontent.com/github/spec-kit/main/media/spec-kit-video-header.jpg → 200 (190ms, 104337B)
[2026-07-22T13:42:31.638Z] GET https://github.com/in-product-messaging/budget-threshold-banner?organization=github → 401 (243ms, ?B)
[2026-07-22T13:42:31.638Z] GET https://github.com/github/spec-kit/hovercards/citation/sidebar_partial?tree_name=main → 200 (292ms, 3334B)
[2026-07-22T13:42:31.638Z] GET https://github.com/github/spec-kit/used_by_list → 200 (303ms, ?B)
[2026-07-22T13:42:31.638Z] GET https://github.com/github/spec-kit/contributors_list?current_repository=spec-kit&deferred=true → 200 (229ms, 6809B)
[2026-07-22T13:42:31.774Z] GET https://github.githubassets.com/assets/chunk-lazy-element-select-panel-807c32c101c6ce95.js → pending (?ms, ?B)
[2026-07-22T13:42:31.774Z] GET https://github.githubassets.com/assets/chunk-lazy-element-toggle-switch-e24ee00c8ecfc50e.js → pending (?ms, ?B)
[2026-07-22T13:42:31.774Z] GET https://github.githubassets.com/assets/chunk-lazy-element-custom-scopes-82070afdec87c030.js → pending (?ms, ?B)
[2026-07-22T13:42:31.774Z] GET https://github.githubassets.com/assets/44391-bce4cf11b6eff80c.js → pending (?ms, ?B)
[2026-07-22T13:42:31.774Z] GET https://github.githubassets.com/assets/6627-80a5ccb752cd4f64.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-element-qbsearch-input-fa66896bef3333d0.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/26194-4de6887bb62715e7.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-element-cookie-consent-link-e75330754445ca1c.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-element-ghcc-consent-80183c446c5e913f.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-element-markdown-accessiblity-table-78fc3efbeeebd5b9.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-element-query-builder-89bbf3c616c98085.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-element-react-partial-anchor-5dfb9e6cec6314c0.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/94189-61cc054f05ea509f.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/38963.81abdfe60a846dd2.module.css → 200 (91ms, 311B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/71236-18053476e03a7169.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/64670-754a2dd94b7cfb79.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/20522-7771350853d1da02.js → pending (?ms, ?B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/70168.7c9fe30e36b6fd8b.module.css → 200 (91ms, 10802B)
[2026-07-22T13:42:31.775Z] GET https://github.githubassets.com/assets/chunk-lazy-react-partial-marketing-navigation-0835b4c020fede16.js → pending (?ms, ?B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/53200638?s=64&v=4 → 200 (82ms, 1531B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/15701806?s=64&v=4 → 200 (79ms, 1539B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/81847?s=64&v=4 → 200 (74ms, 2980B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/in/946600?s=64&v=4 → 200 (72ms, 3577B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/in/1693627?s=64&v=4 → 200 (72ms, 1357B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/in/15368?s=64&v=4 → 200 (72ms, 1953B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/33836051?s=64&v=4 → 200 (151ms, 2034B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/164326821?s=64&v=4 → 200 (151ms, 1767B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/in/1143301?s=64&v=4 → 200 (151ms, 3577B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/in/29110?s=64&v=4 → 200 (152ms, 1478B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/211689452?s=64&v=4 → 200 (152ms, 1521B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/2512445?s=64&v=4 → 200 (152ms, 2006B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/70525?s=64&v=4 → 200 (203ms, 8363B)
[2026-07-22T13:42:31.869Z] GET https://avatars.githubusercontent.com/u/179933638?s=64&v=4 → 200 (198ms, 6904B)
[2026-07-22T13:42:38.305Z] GET https://github.githubassets.com/assets/chunk-26031-2dba7d882b95649b.js → 200 (53ms, 59390B)
[2026-07-22T13:42:38.339Z] GET https://github.githubassets.com/assets/chunk-lazy-element-webauthn-get-910ad117ec55c277.js → 200 (131ms, 8267B)
[2026-07-22T13:42:59.167Z] GET https://github.com/github/spec-kit/latest-commit → 200 (292ms, 3205B)
[2026-07-22T13:42:59.167Z] GET https://github.com/github/spec-kit/recently-touched-branches → 200 (251ms, 58B)
[2026-07-22T13:42:59.167Z] GET https://github.com/github/spec-kit/branch-and-tag-count → 200 (244ms, 26B)
[2026-07-22T13:42:59.190Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:42:59.190Z] GET https://github.com/github/spec-kit/tree-commit-info → 200 (304ms, ?B)
[2026-07-22T13:42:59.216Z] GET https://github.com/github/spec-kit/refs?type=branch → 200 (233ms, 1331B)
[2026-07-22T13:42:59.217Z] GET https://github.com/github/spec-kit/overview-files/main → pending (?ms, ?B)
[2026-07-22T13:42:59.231Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:42:59.231Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:42:59.475Z] GET https://avatars.githubusercontent.com/u/211689452?v=4&size=40 → 200 (65ms, 1125B)
[2026-07-22T13:42:59.475Z] GET https://avatars.githubusercontent.com/u/81847?v=4&size=40 → 200 (62ms, 1783B)
[2026-07-22T13:42:59.865Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:42:59.885Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:42:59.916Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:43:00.432Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:43:00.437Z] POST https://api.github.com/_private/browser/stats → pending (?ms, ?B)
[2026-07-22T13:43:00.438Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
[2026-07-22T13:43:01.855Z] GET https://github.githubassets.com/assets/appearance-settings.ce97eb11609d5e1f.module.css → 200 (86ms, 5874B)
[2026-07-22T13:43:01.895Z] GET https://github.githubassets.com/assets/79471-5f983c0f8f255b73.js → 200 (46ms, 12148B)
[2026-07-22T13:43:01.895Z] GET https://github.githubassets.com/assets/75183-7fc34d3e8751cce2.js → 200 (47ms, 10012B)
[2026-07-22T13:43:01.895Z] GET https://github.githubassets.com/assets/71849.bf6ab3c0bd1358ab.module.css → 200 (46ms, 5860B)
[2026-07-22T13:43:01.903Z] GET https://github.githubassets.com/assets/86851.8aa47e3e152c7a6b.module.css → 200 (63ms, 1374B)
[2026-07-22T13:43:01.903Z] GET https://github.githubassets.com/assets/chunk-86851-2867f02c74621d11.js → 200 (64ms, 3698B)
[2026-07-22T13:43:05.439Z] POST https://collector.github.com/github/collect → pending (?ms, ?B)
